product_id,name,description,price,stock,category_id,,
1,Bridal Hamper – Personalised Couple Wedding Luxury Gift Hamper,"Celebrate the union of two hearts with our Bridal Hamper – Personalised Couple Wedding Luxury Gift Hamper. Elegantly curated with premium chocolates, gourmet treats, dry fruits, scented candles, luxury skincare essentials, and personalized keepsakes. Beautifully packed in a premium gift box with a custom name plaque and heartfelt greeting card, making it the perfect gift for weddings, engagements, bridal showers, anniversaries, and newlywed celebrations.",4999,25,1,,
2,Sahbandh – Personalized Couple Wedding Luxury Gift Hamper,"Sahbandh is a premium personalized wedding gift hamper featuring gourmet chocolates, dry fruits, luxury candles, self-care essentials, and customized keepsakes. Elegantly packed in a reusable gift box with the couple's names and a heartfelt greeting card, it is the perfect gift for weddings, engagements, receptions, bridal showers, and anniversaries.",4999,20,1,,
3,White Rose & Eustoma Luxe Bento Cake Box,"An elegant gift box featuring fresh white roses, delicate eustoma flowers, and a beautifully crafted bento cake, making it the perfect surprise for weddings, engagements, anniversaries, and romantic celebrations.",2999,20,1,,
4,Refined Flavours Wedding Hamper,"A luxurious wedding hamper filled with premium gourmet treats, artisanal snacks, chocolates, and elegant keepsakes, curated to celebrate love and togetherness.",4999,15,1,,
5,Wings of an Angel Assortment,"A sophisticated collection of premium chocolates, gourmet delights, and handcrafted gifts presented in an elegant gift box for unforgettable celebrations.",3799,18,1,,
6,The Regal Fusion Box,"Experience luxury with a curated assortment of premium delicacies, elegant accessories, and exquisite packaging, ideal for weddings and special occasions.",5499,12,1,,
7,Royal Bloom Arrangement,"A magnificent floral arrangement featuring premium blooms designed to add elegance and charm to weddings, anniversaries, and grand celebrations.",3499,25,1,,
8,Sweet Love Story Hamper,"Celebrate every love story with a romantic hamper featuring chocolates, scented candles, gourmet treats, and personalized keepsakes beautifully packed in a luxury gift box.",4299,16,1,,
9,Romantic Rose & Couple Mug Duo,"A charming gift set featuring fresh roses and a pair of beautifully designed couple mugs, perfect for engagements, weddings, anniversaries, and Valentines Day.",2499,30,1,,
10,Together Forever Table Décor,"An elegant decorative table centerpiece symbolizing everlasting love, crafted to enhance wedding receptions, anniversaries, and home décor.",1999,22,1,,
11,Together Forever Table Décor,"An elegant decorative centerpiece symbolizing everlasting love, perfect for weddings, anniversaries, and home décor.",1999,20,1,,
12,Enchanted Mehndi Balloon Arch,A stunning balloon arch designed to elevate mehndi ceremonies with vibrant colors and premium decorations.,3499,15,1,,
13,Timeless Love Keepsake,"A beautifully crafted keepsake that celebrates the everlasting bond between couples, making it a memorable wedding gift.",2499,18,1,,
14,Romantic Glow Personalized Square LED Acrylic Lamp,"A personalized LED acrylic lamp featuring custom names or photos, creating a warm and romantic ambiance for couples.",1799,25,1,,
15,Nuyug 22K Gold Layered Pearl Necklace,An elegant 22K gold-layered pearl necklace designed to complement bridal and festive attire with timeless beauty.,5999,10,1,,
16,Mr. & Mrs. Keepsake Mug Set,"A premium ceramic mug set designed for newlyweds, featuring elegant Mr."" and ""Mrs."" prints for everyday memories.""",1299,30,1,,
17,Elephant Key Holder Wall Hanging,A handcrafted elephant-themed key holder that combines functionality with traditional home décor aesthetics.,899,35,1,,
18,Dressed in Love Truffle Eggless Cake,"A rich and creamy eggless truffle cake crafted for weddings, engagements, and romantic celebrations.",1499,20,1,,
19,Love in Every Frame,"A personalized photo frame that beautifully captures precious memories of love, weddings, and anniversaries.",1599,22,1,,
20,Bridal Hamper,"A luxurious bridal hamper featuring premium chocolates, gourmet treats, beauty essentials, scented candles, and personalized keepsakes in elegant packaging.",4999,12,1,,
21,An Ode to Red Roses,"An exquisite bouquet of premium red roses symbolizing eternal love, romance, and heartfelt emotions.",1999,25,1,,
22,Butterscotch Bliss Cream Eggless Cake,"A delicious eggless butterscotch cake layered with rich cream, perfect for birthdays, weddings, and celebrations.",1299,20,1,,
23,Bride-to-Be Celebration Cake (2 Kg),"A beautifully designed 2 kg eggless celebration cake crafted especially for bridal showers, bachelorette parties, and pre-wedding celebrations.",2999,10,1,,
